Instancia,Iteraciones,Mejor Greedy,Mejor Evolutivo,Diferencia (%)
AB101,20,2669.0,2549.39,-4.481453727988016
AB102,20,3073.0,2998.53,-2.4233647901073803
AB103,20,3250.0,2878.59,-11.427999999999995
AB104,20,4003.0,4003.09,0.002248313764680128
AB105,20,4107.0,3937.8,-4.119795471146817
AB106,20,4272.0,4029.68,-5.67228464419476
AB107,20,4409.0,4161.24,-5.619414833295537
AB108,20,4134.0,4004.86,-3.1238509917755173
AB109,20,4084.0,3876.0,-5.093046033300686
AB110,20,3859.0,3662.36,-5.095620627105464
AB111,20,5059.0,4958.21,-1.9922909665941877
AB112,20,6166.0,5858.95,-4.979727538112232
AB113,20,5387.0,5128.02,-4.807499535919798
AB114,20,5760.0,5359.91,-6.946006944444447
AB115,20,5715.0,5484.51,-4.0330708661417285
AB116,20,5275.0,4976.61,-5.656682464454983
AB117,20,5804.0,5570.42,-4.02446588559614
AB118,20,6278.0,6067.39,-3.354730805989163
AB119,20,6487.0,5999.31,-7.517958994912896
AB120,20,6993.0,6752.38,-3.4408694408694394
AB201,20,2003.0,1793.74,-10.447329006490264
AB202,20,2539.0,2326.4,-8.373375344623863
AB203,20,2641.0,2315.51,-12.324498296099954
AB204,20,2375.0,2278.99,-4.042526315789483
AB205,20,3099.0,2852.78,-7.945143594707964
AB206,20,3417.0,3144.03,-7.988586479367861
AB207,20,3215.0,3212.01,-0.09300155520994655
AB208,20,3212.0,2906.23,-9.519613947696138
AB209,20,2806.0,2608.29,-7.045972915181754
AB210,20,2945.0,2790.14,-5.258404074702891
AB211,20,3190.0,3170.06,-0.6250783699059579
AB212,20,4022.0,3862.24,-3.9721531576330236
AB213,20,4039.0,3707.17,-8.215647437484524
AB214,20,3836.0,3555.99,-7.299530761209599
AB215,20,4046.0,3709.24,-8.323282254078107
AB216,20,4323.0,3980.02,-7.933842239185751
AB217,20,5012.0,4379.52,-12.6193136472466
AB218,20,4587.0,4461.71,-2.731414868105515
AB219,20,4224.0,4002.82,-5.236268939393936
AB220,20,4215.0,3969.72,-5.819217081850538
AB101,25,2669.0,2486.9,-6.822780067440985
AB102,25,3073.0,2870.9,-6.57663520989261
AB103,25,3250.0,2792.13,-14.088307692307689
AB104,25,4003.0,3984.93,-0.45141144141893985
AB105,25,4074.0,3926.91,-3.6104565537555264
AB106,25,4276.0,4180.18,-2.240879326473333
AB107,25,4393.0,4194.74,-4.513089005235607
AB108,25,4134.0,3974.3,-3.8630865989356513
AB109,25,4084.0,3885.33,-4.8645935357492665
AB110,25,3855.0,3679.77,-4.545525291828794
AB111,25,5052.0,4941.7,-2.1832937450514684
AB112,25,6338.0,5788.16,-8.67529189018618
AB113,25,5402.0,5185.29,-4.0116623472787865
AB114,25,5760.0,5310.58,-7.802430555555556
AB115,25,5715.0,5437.09,-4.862817147856515
AB116,25,5277.0,4952.36,-6.151980291832486
AB117,25,5788.0,5591.11,-3.4016931582584715
AB118,25,6281.0,6196.65,-1.3429390224486604
AB119,25,6493.0,6154.5,-5.213306637917758
AB120,25,6997.0,6750.84,-3.518079176790051
AB201,25,2007.0,1899.41,-5.360737419033379
AB202,25,2547.0,2235.9,-12.214369846878677
AB203,25,2631.0,2131.68,-18.97833523375143
AB204,25,2375.0,2292.82,-3.460210526315782
AB205,25,3099.0,2837.18,-8.448531784446601
AB206,25,3417.0,2988.5,-12.54023997658765
